"species","model","logLik","BIC"
"bat","MC2",-734.834055669545,1603.01074914516
"bat","MC1",-1043.41647710619,2131.28050014774
"bat","HMM4",-1012.49146350696,2195.3651864328
"bat","HMM3",-1050.52015527503,2204.7512510659
"bat","HMM2",-1094.02680177872,2239.90907381536
"bat","MC0",-1808.56653757047,3631.94892378605
"chickadee","MC1",-1640.03090499789,3627.05676653539
"chickadee","MC2",-903.610130151558,4236.18495608045
"chickadee","HMM4",-2534.89510128013,5391.99980506133
"chickadee","HMM3",-2729.55948345615,5673.92536857968
"chickadee","HMM2",-3248.9484533639,6621.82367692052
"chickadee","MC0",-4857.68976025344,9764.95022858396
"english","MC1",-7351.06779405538,18874.3001289798
"english","HMM4",-9663.34734949362,20175.9692992037
"english","HMM3",-9927.7528148298,20465.6640803005
"english","HMM2",-10185.3722146518,20758.2774993053
"english","MC0",-10760.2333646498,21701.8651875983
"english","MC2",-3735.88209270565,103431.548625401
"finch","MC2",-2403.63418695075,7346.36922093655
"finch","MC1",-3639.25761738506,7641.2439272037
"finch","HMM4",-5682.57332622928,11701.9661525754
"finch","HMM3",-6581.60782405169,13387.7619815146
"finch","HMM2",-7604.21714802033,15337.9802576241
"finch","MC0",-10085.3132277888,20222.4448402111
"hyrax","MC2",-3525.58845605609,7861.01079673108
"hyrax","MC1",-4036.41794907939,8234.80267508256
"hyrax","HMM4",-4200.11787651454,8651.28425726093
"hyrax","HMM3",-4345.48560570411,8852.93798833199
"hyrax","HMM2",-4531.53485841646,9152.151444141
"hyrax","MC0",-4780.05324395756,9592.49984329988
"orangutan","MC1",-308.204733305485,863.742340860951
"orangutan","HMM3",-357.029461611074,867.169750138804
"orangutan","HMM2",-393.36650235102,875.066174077034
"orangutan","HMM4",-338.091693334548,905.849627044079
"orangutan","MC0",-505.840831294107,1047.01493033821
"orangutan","MC2",-205.254493157081,2141.83910606403
"orca","HMM3",-1328.26393219199,3241.95752522115
"orca","HMM4",-1251.71332360648,3312.50359421264
"orca","HMM2",-1580.36635959711,3535.67081658432
"orca","MC0",-1920.88323556756,4019.36872779358
"orca","MC1",-940.191233401827,6853.24565324077
"orca","MC2",-549.341180022236,140338.851580284
"pilot","HMM2",-460.776623724656,1113.6660678648
"pilot","HMM3",-432.025042918037,1171.43059850085
"pilot","MC0",-562.62138404584,1213.06577171019
"pilot","HMM4",-416.628206943785,1266.88249425395
"pilot","MC1",-350.004344627826,2192.99975077027
"pilot","MC2",-196.967074096704,25774.7821939419
