"species","n_states","logLik","BIC"
"bat",2,-1094.02680177872,2239.90907381536
"bat",3,-1050.52015527503,2204.7512510659
"bat",4,-1012.49146350696,2195.3651864328
"chickadee",2,-3248.9484533639,6621.82367692052
"chickadee",3,-2729.55948345615,5673.92536857968
"chickadee",4,-2534.89510128013,5391.99980506133
"english",2,-10185.3722146518,20758.2774993053
"english",3,-9927.7528148298,20465.6640803005
"english",4,-9663.34734949362,20175.9692992037
"finch",2,-7604.21714802033,15337.9802576241
"finch",3,-6581.60782405169,13387.7619815146
"finch",4,-5682.57332622928,11701.9661525754
"hyrax",2,-4531.53485841646,9152.151444141
"hyrax",3,-4345.48560570411,8852.93798833199
"hyrax",4,-4200.11787651454,8651.28425726093
"orangutan",2,-393.36650235102,875.066174077034
"orangutan",3,-357.029461611074,867.169750138804
"orangutan",4,-338.091693334548,905.849627044079
"orca",2,-1580.36635959711,3535.67081658432
"orca",3,-1328.26393219199,3241.95752522115
"orca",4,-1251.71332360648,3312.50359421264
"pilot",2,-460.776623724656,1113.6660678648
"pilot",3,-432.025042918037,1171.43059850085
"pilot",4,-416.628206943785,1266.88249425395
