"species","model","n_params","logLik","BIC"
"bat","MC0",2,-1808.56653757047,3631.94892378605
"bat","MC1",6,-1043.41647710619,2131.28050014774
"bat","MC2",18,-734.834055669545,1603.01074914516
"chickadee","MC0",6,-4857.68976025344,9764.95022858396
"chickadee","MC1",42,-1640.03090499789,3627.05676653539
"chickadee","MC2",294,-903.610130151558,4236.18495608045
"english","MC0",22,-10760.2333646498,21701.8651875983
"english","MC1",506,-7351.06779405538,18874.3001289798
"english","MC2",11638,-3735.88209270565,103431.548625401
"finch","MC0",6,-10085.3132277888,20222.4448402111
"finch","MC1",42,-3639.25761738506,7641.2439272037
"finch","MC2",294,-2403.63418695075,7346.36922093655
"hyrax","MC0",4,-4780.05324395756,9592.49984329988
"hyrax","MC1",20,-4036.41794907939,8234.80267508256
"hyrax","MC2",100,-3525.58845605609,7861.01079673108
"orangutan","MC0",6,-505.840831294107,1047.01493033821
"orangutan","MC1",42,-308.204733305485,863.742340860951
"orangutan","MC2",294,-205.254493157081,2141.83910606403
"orca","MC0",27,-1920.88323556756,4019.36872779358
"orca","MC1",756,-940.191233401827,6853.24565324077
"orca","MC2",21168,-549.341180022236,140338.851580284
"pilot","MC0",16,-562.62138404584,1213.06577171019
"pilot","MC1",272,-350.004344627826,2192.99975077027
"pilot","MC2",4624,-196.967074096704,25774.7821939419
