1;7;19;3;1;7;19;7;7;11;3;1;3;7;19;7;1;1;7;3;11;3;19;1;7;19;1;2;7;3;2;11;2;7;7;1;2;7;2;1;1;7;2;7;7;2;2
2;2;7;1;1;19;3;7;2;7;2;1;7;2;1;19;7;2;7;2;7;3;7;2;7;19;7;2;7;;;;;;;;;;;;;;;;;;
2;19;7;7;7;19;2;11;7;19;1;19;7;1;19;7;1;11;19;1;7;11;19;1;1;1;19;7;;;;;;;;;;;;;;;;;;;
19;1;7;19;19;7;1;1;1;1;7;7;1;19;1;1;1;19;1;7;1;19;11;11;1;19;1;19;7;19;19;1;19;7;1;19;7;;;;;;;;;;
7;11;7;1;11;7;13;12;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;19;14;4;7;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4;11;11;11;5;5;4;5;6;4;6;6;17;6;4;17;17;6;4;15;11;15;4;11;11;8;2;11;11;11;2;7;1;2;7;;;;;;;;;;;
11;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;11;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;11;11;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;17;11;6;6;6;17;17;17;6;17;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;17;11;6;6;6;11;18;17;17;17;18;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;11;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;17;17;17;16;16;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
